"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"PassportInnerArstotzka","SEX","пол"
"PassportInnerArstotzka","ISS.","ВЫД"
"PassportInnerArstotzka","EXP.","ДО"
"PassportInnerArstotzka","ARSTOTZKA","Тицкая Ф."
"PassportInnerImpor","ENTRY VISA","ВИЗА НА ВЪЕЗД"
"PassportInnerImpor","DOB.","ДР"
"PassportInnerImpor","SEX","ПОЛ"
"PassportInnerImpor","ISS.","ВЫД"
"PassportInnerImpor","EXP.","ДО"
"PassportInnerImpor","IMPOR","Инсектер."
"PassportInnerKolechia","ENTRY VISA","ВИЗА НА ВЪЕЗД"
"PassportInnerKolechia","DOB.","ДР"
"PassportInnerKolechia","SEX","ПОЛ"
"PassportInnerKolechia","ISS.","ВЫД"
"PassportInnerKolechia","EXP.","ДО"
"PassportInnerKolechia","KOLECHIA","Эндерония"
"PassportInnerObristan","ENTRY VISA","ВИЗА НА ВЪЕЗД"
"PassportInnerObristan","DOB.","ДР"
"PassportInnerObristan","SEX","ПОЛ"
"PassportInnerObristan","ISS.","ВЫД"
"PassportInnerObristan","EXP.","ДО"
"PassportInnerObristan","OBRISTAN","Пивовск"
"PassportInnerRepublia","ENTRY VISA","ВИЗА НА ВЪЕЗД"
"PassportInnerRepublia","DOB.","ДР"
"PassportInnerRepublia","SEX","ПОЛ"
"PassportInnerRepublia","ISS.","ВЫД"
"PassportInnerRepublia","EXP.","ДО"
"PassportInnerRepublia","REPUBLIA","Вил-ланд"
"PassportInnerUnitedFed","ENTRY VISA","ВИЗА НА ВЪЕЗД"
"PassportInnerUnitedFed","DOB.","ДР"
"PassportInnerUnitedFed","SEX","ПОЛ"
"PassportInnerUnitedFed","ISS.","ВЫД"
"PassportInnerUnitedFed","EXP.","ДО"
"PassportInnerUnitedFed","UNITED FEDERATION","Микхаилия"
"PlaqueOneInner","Ministry of Admission","Министерство въезда"
"PlaqueOneInner","RECOGNITION","ГРАМОТА"
"PlaqueOneInner","FOR","ЗА"
"PlaqueOneInner","HANG ON WALL","НА СТЕНУ"
"PlaqueTwoInner","Ministry of Admission","Министерство въезда"
"PlaqueTwoInner","RECOGNITION","ГРАМОТА"
"PlaqueTwoInner","FOR","ЗА"
"PlaqueTwoInner","HANG ON WALL","НА СТЕНУ"
"PoisonInnerBack","OPEN","ОТКРЫТЬ"
"PoisonInnerOpen1","DO NOT TOUCH POWDER","КОКАИН НЕ ТРОГАТЬ"
"PoisonInnerOpen1","CLOSE","ЗАКРЫТЬ"
"PoisonInnerOpen2","ALIGN POWDER OVER PASSPORT","ПОМЕСТИТЬ НА ВИЗУ"
"PoisonInnerOpen2","PUSH HARD TO AFFIX","КРЕПКО ПРИЖАТЬ"
"PoisonInnerOpen2","CLOSE","ЗАКРЫТЬ"
"PoliceBadgeInner","MINISTRY OF INFORMATION","МИНИНФОРМАЦИИ"
"PoliceBadgeInner","Office of Investigation","Следственный отдел"
"PoliceBadgeInner","East Grestin Division","Восточный Грештин"
"PoliceBadgeInner","Special Investigator","Следователь"
"PoliceBadgeInner","MOI","МВ"
"PressPassInner","INTERNATIONAL","МЕЖДУНАРОДНАЯ"
"PressPassInner","PRESS","ПРЕСС"
"PressPassInner","IDENTIFICATION","КАРТА"
"RuleDiploAccess","AUTHORIZATION MUST GRANT ACCESS<br> TO ARSTOTZKA","ДОКУМЕНТ ДОЛЖЕН ДАВАТЬ ПРАВО<br> ВЪЕЗДА В ТФ"
"RuleIssuingCity","PASSPORT <span>ISS.</span> FIELD MUST BE VALID","ГОРОД <span>ВЫД</span> ДОЛЖЕН БЫТЬ ДЕЙСТВИТЕЛЕН"
"RuleSealRequired","DOCUMENT MUST<br>HAVE A SEAL","НЕОБХОДИМА<br>ПЕЧАТЬ"
"RulesInnerHome","Arstotzkan","ТФ"
"RulesInnerHome","Ministry<span>of</span>Admission","Министерство<span></span>въезда"
"RulesInnerHome","RULES","ПРАВИЛА"
"RulesInnerHome","&amp;","И"
"RulesInnerHome","REGULATIONS","НОРМАТИВЫ"
"RulesInnerHome","for Inspectors","для инспекторов"
"RulesInnerHome","CONTENTS","СОДЕРЖАНИЕ"
"RulesInnerHome","PROPERTY OF","ИМУЩЕСТВО"
"RulesInnerHome","M.O.A","МВ"
"RulesInnerBasic","RULES","ПРАВИЛА"
"RulesInnerRegion","DIPLOMATIC SEALS","ДИПЛОМАТИЧЕСКИЕ ПЕЧАТИ"
"RulesInnerRegion","PASSPORT","ПАСПОРТ"
"RulesInnerRegion","ISSUING CITIES","ГОРОДА ВЫДАЧИ"
"RulesInnerRegionArstotzka","DISTRICTS","РАЙОНЫ"
"RulesInnerRegionArstotzka","PASSPORT","ПАСПОРТ"
"RulesInnerRegionArstotzka","ISSUING CITIES","ГОРОДА ВЫДАЧИ"
"RulesInnerBooth","INSPECTOR'S BOOTH","МЕСТО ИНСПЕКТОРА"
"RulesInnerBooth","Shutter","Ставни"
"RulesInnerBooth","Counter","Стол"
"RulesInnerBooth","Rule Book<br>Audio Trans.<br>Bulletin<br>Time &amp; Date","Инструкция<br>Стенограмма<br>Бюллетень<br>Время и дата"
"RulesInnerBooth","UPGRADES","УЛУЧШЕНИЯ"
"RulesInnerBooth","NO UPGRADES<br>INSTALLED","УЛУЧШЕНИЯ<br>НЕ УСТАНОВЛЕНЫ"
"RulesInnerBooth2","INSPECTOR'S BOOTH","МЕСТО ИНСПЕКТОРА"
"RulesInnerBooth2","Shutter","Ставни"
"RulesInnerBooth2","Counter","Стол"
"RulesInnerBooth2","Audio Trans.<br>Rule Book<br>Weight","Стенограмма<br>
Инструкция<br>
вес"
"RulesInnerBooth2","Bulletin<br>Time &amp; Date","Бюллетень<br>Время и дата"
"RulesInnerBooth2","UPGRADES","УЛУЧШЕНИЯ"
"RulesInnerBooth2","NO UPGRADES<br>INSTALLED","УЛУЧШЕНИЯ<br>НЕ УСТАНОВЛЕНЫ"
"RulesInnerDocs","OFFICIALLY RECOGNIZED","РАЗРЕШЕННЫЕ К ПРИЕМУ"
"RulesInnerDocs","DOCUMENTS","ДОКУМЕНТЫ"
"RulesInnerDocs","CONTENTS","СОДЕРЖАНИЕ"
"RulesInnerEntryPermit","ENTRY PERMIT","РАЗРЕШЕНИЕ НА ВЪЕЗД"
"RulesInnerEntryPermit","VALID SEALS","ПЕЧАТИ"
"RulesInnerIdCard","ARSTOTZKAN<br>ID CARD","ТФ<br>ЛИЧНАЯ КАРТА"
"RulesInnerIdCard","ISSUED TO ALL ARSTOTZKAN CITIZENS","ВЫДАЕТСЯ ВСЕМ ГРАЖДАНАМ Тицкой Федерации"
"RulesInnerIdCard","DISTRICTS","РАЙОНЫ"
"RulesInnerIdSupplement","IDENTITY<br>SUPPLEMENT","ВНЕШНИЕ<br>ДАННЫЕ"
"RulesInnerIdSupplement","ISSUED TO ALL QUALIFIED FOREIGNERS","ВЫДАЕТСЯ ВСЕМ ВЪЕЗЖАЮЩИМ ИНОСТРАНЦАМ"
"RulesInnerIdSupplement","FOR VERIFICATION OF FOREIGNER'S PHYSICAL APPEARANCE","ВНЕШНИЕ ДАННЫЕ ВЪЕЗЖАЮЩЕГО"
"RulesInnerIdSupplement","VERIFY THUMBPRINT ONLY WHEN FINGERPRINT RECORD IS AVAILABLE","ОТПЕЧАТОК БОЛЬШОГО ПАЛЬЦА (ПРИ НАЛИЧИИ ОБРАЗЦА ОТПЕЧАТКА)"
"RulesInnerIdSupplement","THIS IS A SHORT-ISSUE DOCUMENT - VERIFY EXPIRATION CAREFULLY","ЭТОТ ДОКУМЕНТ ДЕЙСТВУЕТ НЕДОЛГО - ТЩАТЕЛЬНО ПРОВЕРЯЙТЕ ДАТУ"
"RulesInnerAccessPermit","ACCESS PERMIT","ПРАВО<br>НА ВЪЕЗД"
"RulesInnerAccessPermit","VALID SEALS","ПЕЧАТИ"
"RulesInnerAccessPermit","THIS DOCUMENT REPLACES ENTRY PERMIT AND IDENTITY SUPPLEMENT","ЭТОТ ДОКУМЕНТ ЗАМЕНЯЕТ СОБОЙ РАЗРЕШЕНИЕ НА ВЪЕЗД И ОПИСАНИЕ ВНЕШНИХ ДАННЫХ, ПРИЛАГАЕМОЕ К ЛИЧНОЙ КАРТЕ"
"RulesInnerWorkPermit","WORK PASS","РАЗРЕШЕНИЕ<br>НА РАБОТУ"
"RulesInnerWorkPermit","ISSUED TO ALL QUALIFIED FOREIGN LABOR","ВЫДАЕТСЯ ВСЕМ ИНОСТРАННЫМ РАБОЧИМ"
"RulesInnerWorkPermit","VALID SEALS","ПЕЧАТИ"
"RulesInnerDiplomaticAuth","DIPLOMATIC","ДИПЛОМАТ"
"RulesInnerDiplomaticAuth","AUTHORIZATION","ПРОВЕРКА СТАТУСА"
"RulesInnerDiplomaticAuth","VALIDATE SEAL WITH COUNTRY PAGE","ПРОВЕРИТЬ ПЕЧАТЬ"
"RulesInnerAsylumGrant","GRANT OF<br>ASYLUM","ПРАВО<br>НА УБЕЖИЩЕ"
"RulesInnerAsylumGrant","VALID SEALS","ДЕЙСТВИТЕЛЬНЫЕ ПЕЧАТИ"
"RulesInnerAsylumGrant","ALWAYS VERIFY FINGERPRINTS","ВСЕГДА СВЕРЯТЬ ОТПЕЧАТКИ ПАЛЬЦЕВ"
"RulesInnerVaccineCert","VACCINE CERTIFICATE","СПРАВКА <br>О ПРИВИВКАХ"
"RulesInnerVaccineCert","MINISTRY","МИНИСТЕРСТВО"
"RulesInnerVaccineCert","OF","..."
"RulesInnerVaccineCert","HEALTH","ЗДОРОВЬЯ"
"RulesInnerVaccineCert","REGULATION DOCUMENT","ИНСТРУКЦИЯ"
"RulesInnerVaccineCert","POLIO VACCINATION REQUIRED FOR ALL ENTRANTS","НЕОБХОДИМА СПРАВКА О ПРИВИВКЕ ПОЛИОМИЕЛИТА"
"RulesInnerVaccineCert","NO EXCEPTIONS","БЕЗ ИСКЛЮЧЕНИЙ"
"RulesInnerConfiscation","PASSPORT CONFISCATION","ИЗЪЯТИЕ ПАСПОРТА"
"RulesInnerConfiscation","DROP PASSPORT IN CONFISCATION DRAWER","БРОСЬТЕ ПАСПОРТ <br>В ЯЩИК ДЛЯ ИЗЪЯТЫХ ДОКУМЕНТОВ"
"RulesInnerConfiscation","POLICY","ПРАВИЛА"
"RulesInnerConfiscation","PASSPORT MUST BE CONFISCATED BEFORE DETAINING","ПАСПОРТ ДОЛЖЕН<br>БЫТЬ ИЗЪЯТ<br>ДО ЗАДЕРЖАНИЯ"
"RulesInnerConfiscation","MOI","МВ"
"RulesInnerLast","PROPERTY OF","ИМУЩЕСТВО"
"RulesInnerLast","M.O.A.","МВ"
"RulesInnerLast","GLORY TO ARSTOTZKA","Слава Тицкой Федерации!"
"RulesInnerLast","Arstotzkan","Тицкая Федерация"
"RulesInnerLast","Ministry of Admission","МИНИСТЕРСТВО ВЪЕЗДА"
"RulesInnerLast","Rules &amp; Regulations","Правила и нормативы"
"RulesInnerLast","for Inspectors","для инстпекторов"
"RulesInnerLast","1982-1983 Edition","Издание 1982-1983"
"RulesInnerLast","DO NOT DISTRIBUTE UNDER SEVERE<br>PENALTY","РАСПРОСТРАНЕНИЕ КАРАЕТСЯ ПО<br>ЗАКОНУ"
"RulesTabConfL","CONF.","КОНФ."
"RulesTabConfR","CONF.","КОНФ."
"RulesTabDocsL","DOCS","ДОК-ТЫ"
"RulesTabDocsR","DOCS","ДОК-ТЫ"
"RulesTabMapL","MAP","КАРТА"
"RulesTabMapR","MAP","КАРТА"
"RulesTabRulesL","RULES","ПР-ЛА"
"RulesTabRulesR","RULES","ПР-ЛА"
"RulesUpgrade0","TOGGLE INSPECT","РЕЖИМ ""ПРОВЕРКА"""
"RulesUpgrade0","SPACE","ПРОБЕЛ"
"RulesUpgrade1","TOGGLE STAMP BAR","ПЕЧАТИ"
"RulesUpgrade1","TAB","TAB"
"RulesUpgrade2","RULEBOOK SHORTCUTS","ЗАКЛАДКИ"
"RulesUpgrade3","QUICK INSPECT","БЫСТРАЯ ПРОВЕРКА"
"RulesUpgrade3","DOUBLE-CLICK","ДВОЙНОЙ ЩЕЛЧОК"
"RulesUpgrade4","MULTITOUCH","МУЛЬТИТАЧ"
"SeizureSlipInner","Arstotzka Ministry of Admission","Министерство въезда ТФ"
"SeizureSlipInner","PASSPORT SEIZURE SLIP","СПРАВКА ОБ ИЗЪЯТИИ ПАСПОРТА"
"SeizureSlipInner","ENTRY VISA","ВИЗА НА ВЪЕЗД"
"SeizureSlipInner","Your passport has been seized.","Ваш паспорт был изъят"
"SeizureSlipInner","Contact 1509-6103 for redress.","Звоните 1509-6103"
"SpyDocsInnerBack","Mating Habits of Lesser Kolechian Waterfowl","Брачное поведение мелкой Эндеронской дичи"
"SpyDocsInnerBack","A FULL REPORT","ПОЛНЫЙ ОТЧЕТ"
"SpyDocsInnerBack","Ministry of Information","Министерство информации"
"TranscriptInner","AUDIO TRANSCRIPT","СТЕНОГРАММА"
"VaccineCertInner","Certificate<span>of</span>Vaccination","Справка<span>о</span>вакцинации"
"VaccineCertInner","ID#","№"
"VaccineCertInner","DATE","ДАТА"
"VaccineCertInner","VACCINE","ПРИВИВКА"
"VaccineCertInner","Vax valid for 3 years","Срок действия 3 года"
"VisaSlipInner","TEMPORARY VISA SLIP","ВМЕСТО ВИЗЫ"
"VisaSlipInner","ENTRY VISA","ВИЗА НА ВЪЕЗД"
"VisaSlipInner","TO BE USED FOR DENIALS ONLY","ТОЛЬКО ДЛЯ ОТКАЗОВ"
"WorkPermitInner","Ministry of Labor","Министерство труда"
"WorkPermitInner","Work Pass","Разрешение на работу"
"WorkPermitInner","This pass grants its holder the right to work in a specific field for a limited time.","Предоставляет право на работу по конкретной специальности в ограниченный период времени"
"WorkPermitInner","HOLDER","ИМЯ"
"WorkPermitInner","FIELD","СПЕЦ-ТЬ"
"WorkPermitInner","UNTIL","ДО"
"WorkPermitInner","Keep this pass with you at all times.","Всегда иметь при себе"
"EndNews","Kolechian Consensus Reached Over Grestin","Эндерония: достигнут консенсус по Грештину"
"ApartmentClass","CLASS","КЛАСС"
"DetainButton","DETAIN","БАН"
"FingerprintButton","FINGERPRINT","ОТПЕЧАТКИ"
"SearchButton","SEARCH","ПОРНО"
"EmblemsMOA","M.O.A","МВ"
"EmblemsMOA","M.O.L","МТ"
"EmblemsMOL","M.O.L","МТ"
"Filer","CONFISCATED DOCUMENTS","ИЗЪЯТЫЕ ДОКУМЕНТЫ"
"Filer","PROPERTY OF","ИМУЩЕСТВО"
"Filer","M.O.A.","МВ"
"GiveIcon","GIVE","ОТДАТЬ"
"LoadButtonNew","NEW","ЗАНОВО"
"LoadDay","DAY","ДЕНЬ"
"LoadDrag","DRAG TO SCROLL","ПРОКРУТКА"
"News","The Truth of Arstotzka","Правда ТФ"
"News","No Charge","Бесплатно"
"ReasonButton","REASON","ПРИЧИНА"
"RifleKill","KILL","БАНЫ"
"RifleTranq","TRANQ","МУТЫ"
"StampBarMid","ALIGN VISA BENEATH STAMP","ПОМЕСТИТЕ ВИЗУ ПОД ПЕЧАТЬ"
"Upgrades","SPACE","SPACE"
"Upgrades","TAB","TAB"
"image:ArskickersInner.png","capture/ArskickersInner.png","final/ru/ArskickersInner.png"
"ArskickersInner","HANG ON WALL","НА СТЕНУ"
"image:BrothelFlyerInner.png","capture/BrothelFlyerInner.png","final/ru/BrothelFlyerInner.png"
"BrothelFlyerInner","East Grestin","PRP"
"BrothelFlyerInner","FOR ALL YOUR FANTASIES","ЛЮБЫЕ ТВОИ ФАНТАЗИИ"
"image:PezpertInner.png","capture/PezpertInner.png","final/ru/PezpertInner.png"
"PezpertInner","STAMP HERE","ПЕЧАТЬ ЗДЕСЬ"
"image:SonDrawingInner.png","capture/SonDrawingInner.png","final/ru/SonDrawingInner.png"
"SonDrawingInner","hanG on wAll","на стену"
"image:SonDrawingOuter.png","capture/SonDrawingOuter.png","final/ru/SonDrawingOuter.png"
"image:SonDrawingMount.png","capture/SonDrawingMount.png","final/ru/SonDrawingMount.png"
"image:VictimPhotoInnerBack.png","capture/VictimPhotoInnerBack.png","final/ru/VictimPhotoInnerBack.png"
"image:Emotions.png","export/Emotions.png","final/ru/Emotions.png"
